URLs,Frequency
No Source,119
https://twitter.com/funder/status/902352950160478208,1
https://twitter.com/Lambykins60/status/902513957323276288/photo/1,8
https://twitter.com/i/web/status/902514937980956672,1
https://twitter.com/i/web/status/902516617401311234,1
https://twitter.com/astutepanther/status/902518524610011136/photo/1,1
https://twitter.com/NBCNightlyNews/status/902524156402597889,5
https://twitter.com/nbcnews/status/902513259022045185,1
https://twitter.com/i/web/status/902531461865197568,1
https://twitter.com/OfficialJoelF/status/902531717583572992/photo/1,11
https://twitter.com/i/web/status/902541647480836097,1
https://goo.gl/qqDZRu,6
https://goo.gl/fb/En3P7t,1
https://twitter.com/i/web/status/902547269265661952,1
https://detboat.com/melania-trump-sparks-backlash-with-outfit-for-texas-trip-in-wake-of-hurricane-harvey/,1
https://thealtstandard.com/blog/2017/08/29/melania-trump-sparks-backlash-with-outfit-for-texas-trip-in-wake-of-hurricane-harvey/,1
https://fb.me/8znekGJTc,1
https://www.thewrap.com/twitter-pumped-up-about-melania-trumps-4-inch-heels-for-houston-flood-tour/#.WaWEJ-FeTG4.twitter,1
https://twitter.com/i/web/status/902552535432613889,1
https://fb.me/7E9ioaWzb,1
https://disq.us/t/2symfdg,13
https://www.occuworld.org/news/3609253,1
https://fb.me/7e5LEMq1X,1
https://disaster.trendolizer.com/2017/08/melania-trump-wears-6-inch-heels-to-hurricane-zone-shes-getting-hammered-on-twitter.html,1
https://klou.tt/1hci3ylgsms0h,1
https://www.trendolizer.com/2017/08/melania-trump-wears-6-inch-heels-to-hurricane-zone-shes-getting-hammered-on-twitter.html,1
https://ift.tt/2wlOnZS,2
https://aol.it/2iFS1e4,11
https://fb.me/1xwSqqwY8,1
https://twitter.com/i/web/status/902564018602123264,1
https://twitter.com/i/web/status/902564018149253120,1
https://twitter.com/AynRandPaulRyan/status/902538708481581056/photo/1,1
https://ow.ly/opIN50dJ3ab,1
https://twitter.com/i/web/status/902565415892770817,1
https://people.com/politics/melania-trump-wears-heels-hurricane-texas/,1
https://dlvr.it/PjQwNx,1
https://zpr.io/PWbGd,1
https://twitter.com/i/web/status/902568997983592452,1
https://goo.gl/6G5MkJ,1
https://goo.gl/fb/zfxmBT,1
https://zpr.io/PWbYM,1
https://cheekywiki.com/melania-trump-dragged-back-to-bloomies-for-wearing-heels-in-hurricane-harvey/,1
https://goo.gl/fb/kSNbKg,1
https://goo.gl/fb/yiwSpZ,1
https://nyti.ms/2vH4103,2
https://www.popsugar.com/fashion/Melania-Trump-Wears-Heels-Texas-Hurricane-Harvey-43949300,2
https://dlvr.it/PjRBvK,1
https://ift.tt/2x1KonE,6
https://goo.gl/fb/tQtkh1,1
https://hamassenger.com/2017/08/melania-trump-sparks-backlash-with-outfit-for-texas-trip-in-wake-of-hurricane-harvey/,1
https://www.newslocker.com/en-us/news/internationalcrime/melania-trump-sparks-backlash-with-outfit-for-texas-trip-in-wake-of-hurricane-harvey/,1
https://www.yahoo.com/news/melania-trump-sparks-backlash-outfit-150000973.html,4
https://www.yahoo.com/news/melania-trump-sparks-backlash-outfit-150000973.html?soc_src=social-sh&soc_trk=tw,8
https://bit.ly/2wlSqpn,2
https://www.yahoo.com/news/melania-trump-sparks-backlash-outfit-150000973.html?.tsrc=fauxdal,13
https://ift.tt/2vBinjo,1
https://www.newslocker.com/en-uk/news/gadgets/melania-trump-sparks-backlash-with-outfit-for-texas-trip-in-wake-of-hurricane-harvey/,1
https://ift.tt/2x1c2S0,1
https://twitter.com/i/web/status/902577708298678272,1
https://uproxx.it/2x14dvD,1
https://twitter.com/i/web/status/902578110805282816,1
https://goo.gl/fb/BME9EX,1
https://buzz.affcart.com/melania-trump-high-heels-hurricane-harvey/?Twitter,2
https://ift.tt/2wlqMsl,1
https://twitter.com/i/web/status/902579681983123456,1
https://dlvr.it/PjRWKj,1
https://flip.it/b8GWQf-Talking,1
https://www.yahoo.com/news/melania-trump-sparks-backlash-outfit-150000973.html?.tsrc=fauxdal.All,1
https://ijr.com/the-declaration/2017/08/960133-melania-trump-heads-texas-visit-hurricane-victims-d-c-can-talk-shoes/?utm_source=twitter&utm_medium=social,14
https://twitter.com/i/web/status/902582107859435520,1
https://ift.tt/2vpaMZ2,2
https://twitter.com/i/web/status/902582146325389313,1
https://politi.co/2vBBMRn,1
https://www.nytimes.com/2017/08/29/us/trump-texas-harvey.html,1
https://mrie.cl/du1sjiU,5
https://twitter.com/i/web/status/902583854317391872,3
https://disaster.trendolizer.com/2017/08/critics-sneer-at-melania-trump-for-wearing-heels-on-trip-to-texas.html,1
https://ow.ly/PrBN50dJ7LT,1
https://fb.me/1an5dzOYi,1
https://twitter.com/i/web/status/902584572789084162,1
https://youtu.be/4v08o9uBTKU,2
https://politics.trendolizer.com/2017/08/melania-trump-heads-to-texas-to-visit-hurricane-victims-all-dc-can-talk-about-is-her-shoes.html,1
https://hbaz.co/cmdzIXT,2
https://www.yahoo.com/news/melania-trump-spar,1
https://www.trendolizer.com/2017/08/melania-trump-heads-to-texas-to-visit-hurricane-victims-all-dc-can-talk-about-is-her-shoes.html,1
https://twitter.com/i/web/status/902585952081555457,1
https://www.yahoo.com/news/melania-trump-sparks-backlash-outfit-150000973.html?utm_source=newsupdate24.news,1
https://pjmedia.com/instapundit/274194/,3
https://lsh.re/1INBZ,4
https://www.weareiowa.com/news/national/trump-arrives-in-texas/800741171,1
https://hollywoodlife.com/2017/08/29/melania-trump-wears-high-heels-hurricane-harvey-houston-mocked/,2
https://ift.tt/2x1ClaL,6
https://goo.gl/NTwbE7,1
https://nextladies.com/2017/08/29/melania-trump-wore-stiletto-heels-for-air-force-one-flight-to-check-on-disaster-relief-in-texas/,1
https://www.newslocker.com/en-us/profession/animals_news/melania-trump-sparks-backlash-with-outfit-for-texas-trip-in-wake-of-hurricane-harvey/,1
https://www.yahoo.com/style/melania-trump-sparks-backlash-outfit-150000973.html?.tsrc=fauxdal,26
https://goo.gl/fb/JD4ZZG,1
https://www.yahoo.com/newsroom/vibes/melania-trump/v-a4c59f1d-de14-3442-aef2-5f1d1ef83e53_c-740b4f56-84e1-3d4e-a199-62cfa1aa2bf5_a-740b4f56-84e1-3d4e-a199-62cfa1aa2bf5?soc_src=newsroom&soc_trk=com.apple.UIKit.activity.PostToTwitter&.tsrc=newsroom,1
https://dlvr.it/PjRw1y,1
https://elitedaily.com/news/politics/no-one-can-get-melania-trump-wore-visit-texas-hurricane-harvey/2057038/,4
https://goo.gl/fb/9frzsE,1
https://goo.gl/fb/JTTYbD,1
https://www.newslocker.com/en-us/profession/generalnews/melania-trump-sparks-backlash-with-outfit-for-texas-trip-in-wake-of-hurricane-harvey/,1
https://newsatw.com/,1
https://www.yahoo.com/news/melania-trump-sparks-backlash-outfit-150000973.html?soc_src=hl-viewer&soc_trk=tw,2
https://goo.gl/fb/S5pvVV,2
https://twitter.com/i/web/status/902594846791262208,1
https://www.popsugar.com/fashion/Melania-Trump-Wears-Heels-Texas-Hurricane-Harvey-43949300?utm_source=dlvr.it&utm_medium=twitter,1
https://stocksmarket.in/?p=265041,1
https://www.elle.com/culture/career-politics/a12119701/melania-trump-stiletto-heels-texas-disaster-relief/,2
https://thisandthatblog.com/2017/08/29/melania-trump-sparks-backlash-with-outfit-for-texas-trip-in-wake-of-hurricane-harvey/,1
https://goo.gl/qQuhCP,1
https://www.yahoo.com/style/melania-trump-sparks-backlash-outfit-150000973.html?soc_src=social-sh&soc_trk=tw,3
https://ow.ly/Nqpp50dJcHU,1
https://dlvr.it/PjSJr3,1
https://twitter.com/TDPattillo/status/902570916093149184,1
https://www.aol.com/article/lifestyle/2017/08/29/melania-trump-sparks-backlash-texas-hurricane-harvey/23189459/?a_dgi=aolshare_twitter,1
https://www.yahoo.com/style/melania-trump-sparks-backlash-outfit-150000973.html?.tsrc=faux,1
https://www.newslocker.com/en-us/news/socialmedia/melania-trump-sparks-backlash-with-outfit-for-texas-trip-in-wake-of-hurricane-harvey/,1
https://aol.it/2wPGSxK,1
https://ift.tt/2wfolJp,2
